,Channel,Original Interest Rate,Current Interest Rate,Original UPB,UPB at Issuance,Original Loan Term,Loan Age,Remaining Months to Legal Maturity,Remaining Months To Maturity,Original Loan to Value Ratio (LTV),Original Combined Loan to Value Ratio (CLTV),Number of Borrowers,Debt-To-Income (DTI),Borrower Credit Score at Origination,Co-Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose ,Property Type,Number of Units,Occupancy Status,Property State,Metropolitan Statistical Area (MSA) or Metropolitan Statistical Division Area (MSDA),Mortgage Insurance Percentage,Amortization Type,Prepayment Penalty Indicator,Interest Only Loan Indicator,Interest Only First Principal And Interest Payment Date,Months to Amortization,Loan Payment History,Modification Flag,Mortgage Insurance Cancellation Indicator,Zero Balance Code,Zero Balance Effective Date,UPB at the Time of Removal,Repurchase Date,Scheduled Principal Current,Total Principal Current,Unscheduled Principal Current,Last Paid Installment Date,Property Preservation and Repair Costs,Asset Recovery Costs,Miscellaneous Holding Expenses and Credits,Associated Taxes for Holding Property,Modification-Related Non-Interest Bearing UPB,Principal Forgiveness Amount,Original List Start Date,Original List Price,Current List Price,Borrower Credit Score At Issuance,Co-Borrower Credit Score At Issuance,Borrower Credit Score Current ,Co-Borrower Credit Score Current,Mortgage Insurance Type,Servicing Activity Indicator,Special Eligibility Program,Relocation Mortgage Indicator,Zero Balance Code Change Date,Loan Holdback Effective Date,Property Valuation Method ,High Balance Loan Indicator ,ARM Initial Fixed-Rate Period  ≤ 5 YR Indicator,ARM Product Type,Initial Fixed-Rate Period ,Interest Rate Adjustment Frequency,Next Interest Rate Adjustment Date,Next Payment Change Date,ARM Cap Structure,Initial Interest Rate Cap Up Percent,Periodic Interest Rate Cap Up Percent,Lifetime Interest Rate Cap Up Percent,Mortgage Margin,ARM Balloon Indicator,ARM Plan Number,Borrower Assistance Plan,High Loan to Value (HLTV) Refinance Option Indicator,Repurchase Make Whole Proceeds Flag,Total Deferral Amount ,Payment Deferral Modification Event Indicator,Interest Bearing UPB,market rate
9044,C,7.625,7.625,421000.0,,360,3,357,356,95,95,1,43.0,727.0,,N,P,CO,1,P,VA,47900,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,310.44,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
11267,R,6.99,6.99,361000.0,,360,2,358,357,95,95,2,25.0,800.0,793.0,Y,P,SF,1,P,TN,28940,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,300.04,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
3639,R,6.875,6.875,228000.0,,360,2,358,358,56,56,1,41.0,661.0,,N,C,SF,1,P,AZ,38060,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,233.26,,,,,,,,,,,,,,,,,N,7,N,,,W,N,,,,,,,,,,,,,,7,N,,,7,,6.0
11209,R,6.875,6.875,197000.0,,360,1,359,359,90,90,2,33.0,793.0,712.0,Y,P,SF,1,P,WI,31540,25.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,165.59,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
10884,R,6.625,6.625,188000.0,,360,0,360,360,75,75,2,34.0,739.0,772.0,N,P,SF,2,I,WI,33340,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
12610,R,8.375,8.375,402000.0,,360,1,359,358,65,65,1,37.0,700.0,,N,C,PU,1,P,OR,38900,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
11990,R,5.875,5.875,162000.0,,360,1,359,359,75,75,1,23.0,804.0,,N,P,SF,1,I,AL,0,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,165.33,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
9367,R,5.375,5.375,442000.0,,180,1,179,179,93,93,1,26.0,752.0,,N,R,CO,1,P,CO,19740,25.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,1608.1,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
11497,R,6.99,6.99,390000.0,,360,1,359,359,67,67,2,50.0,799.0,753.0,N,P,PU,1,P,FL,36740,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,320.32,,,,,,,,,,,,,,,,,N,7,N,,,W,N,,,,,,,,,,,,,,7,N,,,7,,6.0
17579,R,6.75,6.75,446000.0,,360,0,360,360,93,93,2,25.0,811.0,810.0,N,R,SF,1,P,IN,31140,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
17242,R,6.125,6.125,372000.0,,360,0,360,360,80,80,2,25.0,792.0,787.0,Y,P,SF,1,P,NH,31700,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
13185,R,6.625,6.625,175000.0,,360,0,360,359,95,95,1,19.0,806.0,,Y,P,SF,1,P,CT,35300,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
8773,B,6.875,6.875,470000.0,,360,1,359,357,80,80,1,49.0,750.0,,Y,P,PU,1,P,TX,26420,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,H,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
984,B,6.5,6.5,458000.0,,360,2,358,343,75,75,1,37.0,791.0,,Y,P,CO,1,P,WA,42660,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,2142.91,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
11119,R,6.125,6.125,296000.0,,360,0,360,360,80,80,2,27.0,737.0,770.0,Y,P,PU,1,P,ID,14260,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,P,N,,,,,,,,,,,,,,7,N,,,7,,6.0
17631,R,7.625,7.625,200000.0,,360,0,360,359,85,85,2,33.0,796.0,731.0,Y,P,SF,1,P,WV,26580,12.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
2359,C,7.0,7.0,284000.0,,360,4,356,356,97,103,1,40.0,768.0,,Y,P,SF,1,P,NC,0,35.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,337.35,,,,,,,,,,,,,,,,1.0,N,F,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
673,R,6.85,6.85,600000.0,,360,2,358,358,68,68,2,40.0,786.0,725.0,N,P,PU,1,P,MT,0,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,509.45,,,,,,,,,,,,,,,,,N,7,N,,,W,N,,,,,,,,,,,,,,7,N,,,7,,6.0
4546,R,8.0,8.0,308000.0,,240,3,237,222,75,75,2,34.0,808.0,819.0,N,P,PU,2,I,KS,48620,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,873.73,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
8692,R,6.0,6.0,80000.0,,360,1,359,359,24,24,2,42.0,800.0,815.0,N,C,SF,2,I,WI,33340,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,79.64,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
4639,B,6.75,6.75,279000.0,,360,2,358,358,94,94,2,29.0,767.0,784.0,Y,P,SF,1,P,PA,48700,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,248.68,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
14219,R,6.375,6.375,433000.0,,360,0,360,359,92,92,2,41.0,800.0,782.0,Y,P,SF,1,P,TX,19100,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
13225,R,6.625,6.625,435000.0,,360,-1,361,360,71,71,1,26.0,804.0,,N,P,PU,1,P,TN,34980,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
3184,C,6.875,6.875,392000.0,,360,2,358,358,80,80,2,49.0,811.0,737.0,N,P,PU,1,P,NC,0,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,331.21,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
2820,R,7.625,7.625,249000.0,,360,3,357,357,95,95,2,36.0,763.0,774.0,Y,P,SF,1,P,IL,16980,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,182.44,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
8739,R,7.49,7.49,340000.0,,360,0,360,359,80,80,2,38.0,798.0,798.0,N,P,SF,1,P,MD,47900,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,252.83,,,,,,,,,,,,,,,,,N,H,N,,,W,N,,,,,,,,,,,,,,7,N,,,7,,6.0
9468,R,6.625,6.625,990000.0,,360,0,360,360,60,60,2,49.0,789.0,791.0,N,P,PU,1,P,CA,41740,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,A,Y,,,,,,,,,,,,,,7,N,,,7,,6.0
13470,B,6.5,6.5,237000.0,,360,-1,361,360,95,95,2,42.0,740.0,797.0,Y,P,SF,1,P,PA,38300,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
12292,R,7.375,7.375,191000.0,,360,0,360,359,75,75,1,45.0,760.0,,N,P,SF,1,I,GA,0,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
2791,B,5.99,5.99,425000.0,,360,2,358,358,80,80,1,39.0,791.0,,Y,P,PU,1,P,CA,40900,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
17907,R,8.0,8.0,117000.0,,360,0,360,359,59,59,1,38.0,710.0,,N,C,SF,1,P,WI,33340,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,W,N,,,,,,,,,,,,,,7,N,,,7,,6.0
9946,C,7.125,7.125,404000.0,,360,1,359,359,95,95,2,30.0,803.0,814.0,N,P,PU,1,P,AZ,38060,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,322.87,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
16844,R,7.375,7.375,144000.0,,360,-1,361,360,67,67,1,43.0,661.0,,N,C,SF,1,P,TX,26420,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
16183,C,6.625,6.625,693000.0,,360,0,360,360,70,70,1,49.0,807.0,,N,P,PU,1,P,NJ,35620,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
12811,C,7.625,7.625,347000.0,,360,0,360,360,75,75,2,40.0,801.0,782.0,N,P,SF,1,S,SC,12260,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,W,N,,,,,,,,,,,,,,7,N,,,7,,6.0
18657,C,6.124,6.124,618000.0,,360,0,360,359,85,85,2,49.0,765.0,790.0,Y,P,CO,1,P,CA,41940,12.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
13599,B,6.125,6.125,270000.0,,360,-1,361,360,90,90,1,36.0,753.0,,Y,P,PU,1,P,FL,36740,25.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,H,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
9776,R,6.625,6.625,345000.0,,360,0,360,360,75,75,1,40.0,746.0,,N,P,CO,1,P,NJ,35620,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
1326,R,6.375,6.375,446000.0,,360,2,358,357,97,97,1,41.0,783.0,,Y,P,PU,1,P,IN,26900,35.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,833.23,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
385,R,7.5,7.5,80000.0,,360,2,358,358,26,26,2,36.0,812.0,812.0,N,C,SF,1,P,MO,41180,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,59.75,,,,,,,,,,,,,,,,,N,7,N,,,C,N,,,,,,,,,,,,,,7,N,,,7,,6.0
17267,R,7.125,7.125,290000.0,,360,2,358,358,90,90,1,48.0,789.0,,Y,P,SF,1,P,PA,0,25.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
11731,R,6.375,6.375,246000.0,,360,1,359,359,80,80,1,36.0,777.0,,Y,P,PU,1,P,TX,41700,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,227.84,,,,,,,,,,,,,,,,,N,7,N,,,W,N,,,,,,,,,,,,,,7,N,,,7,,6.0
13600,C,6.375,6.375,333000.0,,360,0,360,63,95,95,2,31.0,757.0,742.0,N,P,SF,1,P,PA,42540,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
6098,R,8.0,8.0,578000.0,,360,2,358,357,75,75,2,34.0,804.0,782.0,N,P,PU,1,S,FL,15980,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,654.33,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
6909,R,6.375,6.375,594000.0,,360,0,360,360,95,95,2,45.0,790.0,759.0,Y,P,CO,1,P,VA,47900,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
9396,R,6.99,6.99,323000.0,,360,0,360,358,95,95,2,23.0,760.0,796.0,Y,P,SF,1,P,FL,15980,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,619.28,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
6518,C,6.875,6.875,210000.0,,360,1,359,359,75,75,1,33.0,808.0,,N,P,CO,1,I,IL,16980,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
5182,R,5.99,5.99,483000.0,,360,1,359,356,95,95,1,41.0,771.0,,Y,P,PU,1,P,FL,45300,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,988.61,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
1650,B,6.99,6.99,685000.0,,360,2,358,357,52,52,2,37.0,691.0,762.0,N,P,SF,1,P,CA,31080,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,569.18,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
10739,C,6.75,6.75,337000.0,,360,1,359,359,84,84,2,42.0,781.0,802.0,Y,P,PU,1,P,NC,39580,12.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,390.15,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
10149,R,7.0,7.0,213000.0,,360,0,360,360,75,75,2,14.0,771.0,733.0,N,C,SF,1,P,WI,0,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
18443,C,6.0,6.0,244000.0,,360,0,360,360,80,80,1,25.0,763.0,,N,P,SF,1,P,PA,16540,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
15347,R,7.5,7.5,710000.0,,360,-1,361,360,52,52,2,25.0,813.0,802.0,N,P,PU,1,S,NC,47260,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
17424,R,6.5,6.5,539000.0,,360,0,360,359,95,95,2,43.0,795.0,733.0,N,P,PU,1,P,TX,26420,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
9406,R,6.875,6.875,120000.0,,360,1,359,359,30,30,1,41.0,670.0,,N,C,SF,1,P,PA,39740,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,100.82,,,,,,,,,,,,,,,,,N,7,N,,,W,N,,,,,,,,,,,,,,7,N,,,7,,6.0
435,R,7.4,7.4,128000.0,,360,3,357,353,34,34,2,12.0,794.0,781.0,Y,P,SF,1,P,GA,0,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,254.72,,,,,,,,,,,,,,,,,N,7,Y,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
16051,R,7.125,7.125,750000.0,,360,0,360,360,48,48,2,27.0,788.0,790.0,N,P,PU,1,P,TX,12420,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
4574,R,6.5,6.5,303000.0,,360,1,359,359,97,97,2,38.0,776.0,806.0,Y,P,SF,1,P,OR,38900,35.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,349.49,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
6291,R,6.625,6.625,100000.0,,360,2,358,9,17,17,2,7.0,787.0,785.0,N,P,PU,1,P,SC,0,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,94588.71,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
5107,R,7.312,7.312,605000.0,,360,2,358,358,94,94,2,36.0,715.0,746.0,N,P,SF,1,P,NY,35620,30.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,469.01,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
3334,C,7.75,7.75,213000.0,,360,3,357,357,90,90,1,47.0,747.0,,Y,P,CO,1,P,MD,47900,25.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,152.5,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
10585,B,6.875,6.875,700000.0,,360,1,359,359,80,80,2,14.0,805.0,793.0,Y,P,SF,1,P,CA,40900,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,588.09,,,,,,,,,,,,,,,,,N,7,N,,,P,N,,,,,,,,,,,,,,7,N,,,7,,6.0
17943,R,6.5,6.5,644000.0,,360,0,360,359,55,55,2,17.0,760.0,764.0,Y,P,PU,1,P,CA,41940,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
2445,R,6.5,6.5,190000.0,,360,2,358,358,50,50,1,27.0,813.0,,N,P,SF,1,P,NC,0,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
10583,R,7.575,7.575,223000.0,,360,2,358,358,95,95,2,37.0,695.0,764.0,Y,P,SF,1,P,PA,25420,25.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,164.24,,,,,,,,,,,,,,,,1.0,N,H,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
9123,R,5.75,5.75,338000.0,,360,1,359,359,90,90,2,43.0,799.0,792.0,N,P,PU,1,P,TX,12420,25.0,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,N,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
2545,R,6.99,6.99,315000.0,,360,2,358,358,42,42,1,28.0,786.0,,N,P,PU,1,P,FL,38940,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
17001,R,6.5,6.5,620000.0,,240,1,239,239,75,75,1,48.0,743.0,,N,R,CO,1,P,MA,14460,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,N,,,,,,,,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
2562,R,7.125,7.125,168000.0,,360,2,358,248,40,40,2,23.0,792.0,780.0,N,P,PU,1,I,NJ,35620,,FRM,N,N,,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,N,,,,,,,0.0,,,,,,,,,,,,,,,,,N,7,N,,,A,N,,,,,,,,,,,,,,7,N,,,7,,6.0
